"Country or Area Code","Country or Area","Year","Value","Value Footnotes","Unit"
"404","Kenya","2008","4.90000009536743","","%"
"404","Kenya","2007","4.90000009536743","","%"
"404","Kenya","2006","4.90000009536743","","%"
"404","Kenya","2005","4.90000009536743","","%"
"404","Kenya","2004","4.90000009536743","","%"
"404","Kenya","2003","4.90000009536743","","%"
"404","Kenya","2002","4.90000009536743","","%"
"404","Kenya","2001","4.90000009536743","","%"
"404","Kenya","2000","4.90000009536743","","%"
"404","Kenya","1999","4.90000009536743","","%"
"404","Kenya","1998","4.90000009536743","","%"
"404","Kenya","1997","4.90000009536743","","%"
"404","Kenya","1996","4.90000009536743","","%"
"404","Kenya","1995","4.90000009536743","","%"
"404","Kenya","1990","4.90000009536743","","%"
"414","Kuwait","2013","100","","%"
"414","Kuwait","2012","100","","%"
"414","Kuwait","2011","100","","%"
"414","Kuwait","2010","100","","%"
"414","Kuwait","2009","100","","%"
"414","Kuwait","2008","100","","%"
"414","Kuwait","2007","100","","%"
"414","Kuwait","2006","100","","%"
"414","Kuwait","2005","100","","%"
"414","Kuwait","2004","100","","%"
"414","Kuwait","2003","100","","%"
"414","Kuwait","2002","100","","%"
"414","Kuwait","2001","100","","%"
"414","Kuwait","2000","100","","%"
"428","Latvia","2013","100","","%"
"428","Latvia","2012","100","","%"
"428","Latvia","2011","100","","%"
"428","Latvia","2010","100","","%"
"428","Latvia","2009","100","","%"
"428","Latvia","2008","100","","%"
"428","Latvia","2007","100","","%"
"428","Latvia","2006","66.9000015258789","","%"
"428","Latvia","2005","67.5999984741211","","%"
"428","Latvia","2004","68.0999984741211","","%"
"428","Latvia","2003","72.4000015258789","","%"
"428","Latvia","2002","67.4000015258789","","%"
"438","Liechtenstein","2015","98.6999969482422","","%"
"440","Lithuania","2015","76.6579971313477","","%"
"440","Lithuania","2014","75.4140014648438","","%"
"440","Lithuania","2013","74.1829986572266","","%"
"440","Lithuania","2012","74.0719985961914","","%"
"442","Luxembourg","2015","98.5","","%"
"442","Luxembourg","2014","99","","%"
"442","Luxembourg","2013","100","","%"
"442","Luxembourg","2012","100","","%"
"442","Luxembourg","2011","100","","%"
"442","Luxembourg","2010","98.6999969482422","","%"
"442","Luxembourg","2003","100","9","%"
"442","Luxembourg","1999","100","","%"
"442","Luxembourg","1995","100","","%"
"442","Luxembourg","1994","100","","%"
"450","Madagascar","2005","0","14","%"
"450","Madagascar","2004","0","14","%"
"450","Madagascar","2003","0","14","%"
"450","Madagascar","2002","0","14","%"
"450","Madagascar","2001","0","14","%"
"450","Madagascar","2000","0","14","%"
"450","Madagascar","1999","0","14","%"
"450","Madagascar","1995","0","14","%"
"450","Madagascar","1990","0","14","%"
"458","Malaysia","2015","77.7344818115234","15","%"
"458","Malaysia","2014","76.6273803710938","15","%"
"458","Malaysia","2013","75.1092987060547","15","%"
"458","Malaysia","2012","73.6999969482422","15","%"
"458","Malaysia","2011","72.5","15","%"
"458","Malaysia","2010","73.6999969482422","15","%"
"458","Malaysia","2009","73.0999984741211","15","%"
"458","Malaysia","2008","69.3000030517578","15","%"
"458","Malaysia","2007","66.1999969482422","15","%"
"462","Maldives","2012","50","","%"
"462","Maldives","2011","50","","%"
"462","Maldives","2010","47","","%"
"462","Maldives","2009","41","","%"
"462","Maldives","2008","38","","%"
"462","Maldives","2007","35","","%"
"462","Maldives","2006","35","","%"
"462","Maldives","2005","35","","%"
"462","Maldives","2004","35","","%"
"462","Maldives","2003","35","","%"
"462","Maldives","2002","35","","%"
"462","Maldives","2001","35","","%"
"466","Mali","2015","23.2000007629395","","%"
"466","Mali","2013","23.1000003814697","","%"
"466","Mali","2009","14","","%"
"470","Malta","2015","100","","%"
"470","Malta","2014","100","","%"
"470","Malta","2013","100","","%"
"470","Malta","2012","100","","%"
"470","Malta","2011","100","","%"
"470","Malta","2010","20.7299995422363","","%"
"470","Malta","2009","23.3999996185303","","%"
"470","Malta","2008","16.5","","%"
"470","Malta","2007","10.1000003814697","","%"
"470","Malta","2006","11","","%"
"470","Malta","2005","15","","%"
"470","Malta","2004","15.1000003814697","","%"
"470","Malta","2003","18","","%"
"470","Malta","2002","17.7000007629395","","%"
"470","Malta","2001","15.8999996185303","","%"
"470","Malta","2000","15.8000001907349","","%"
"470","Malta","1999","13","","%"
"470","Malta","1998","13","","%"
"470","Malta","1997","13","","%"
"470","Malta","1996","13","","%"
"470","Malta","1995","13","","%"
"584","Marshall Islands","2007","0","","%"
"584","Marshall Islands","2006","0","","%"
"584","Marshall Islands","2005","0","","%"
"584","Marshall Islands","2004","0","","%"
"584","Marshall Islands","2003","0","","%"
"584","Marshall Islands","2002","0","","%"
"584","Marshall Islands","2001","0","","%"
"584","Marshall Islands","2000","0","","%"
"584","Marshall Islands","1999","0","","%"
"584","Marshall Islands","1998","0","","%"
"584","Marshall Islands","1997","0","","%"
"584","Marshall Islands","1996","0","","%"
"584","Marshall Islands","1995","0","","%"
"584","Marshall Islands","1990","0","","%"
"474","Martinique","2012","90","","%"
