scenario,region,population,excreted,flushSewer,flushSeptic,flushPit,flushOpen,flushUnknown,pitSlab,pitNoSlab,compostingTwinSlab,compostingTwinNoSlab,compostingToilet,bucketLatrine,containerBased,hangingToilet,openDefecation,other,isShared,sewerLeak,emptied,isWatertight,hasLeach,coverBury,emptiedTreatment,emptyFrequency,pitAdditive,flushElsewhere,pitVIP,pitTraditional,otherLatrine,otherImproved,otherUnimproved,dontKnow,pitLined,pitUnlined
baseline,Kisenyi III,4559,1.00E+10,0.473684211,0.104532164,0.02119883,0.010964912,0.019005848,0.309210526,0.026315789,0,0,0.021929825,0,0,0,0.009502924,0.003654971,0.247807018,0.05,0.381895332,0,0.715083799,0,0.311173975,3,None,0,0,0,0,0,0,0,0.158625731,0.198830409
baseline,Kisugu,19235,1.00E+10,0.001030169,0.345989698,0.10919794,0.000294334,0.0133922,0.486387049,0.026342899,0,0,0.015305372,0,0,0,0.000735835,0.001324503,0.422075055,0.05,0.244141204,0,0.768698517,0,0.221150994,3,None,0,0,0,0,0,0,0,0.197792494,0.330242826
baseline,Kiswa,3919,1.00E+10,0.495432797,0.180948238,0.054371466,0.008699435,0.02522836,0.210961288,0.021313615,0,0,0,0.00E+00,0,0,0,0.003044802,0.206176599,0.05,0.203301477,0,0.737793852,0,0.19374457,3,None,0,0,0,0,0,0,0,0.067855589,0.164419313
baseline,Kiwatule,16915,1.00E+10,0.00212766,0.450557244,0.06372847,0,0.030496454,0.43485309,0.016919959,0,0,0,0,0,0,0.001114488,0.000202634,0.314184397,0.05,0.144663065,0,0.83650405,0,0.142522174,3,None,0,0,0,0,0,0,0,0.165552178,0.286220871
baseline,Kololo III,1016,1.00E+10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.05,0,0,0,0,0,3,None,0,0,0,0,0,0,0,0,0
baseline,Komamboga,10219,1.00E+10,0.002345124,0.26128591,0.080125073,0.000488568,0.007035372,0.631131522,0.012702756,0,0,0,0,0,0,0.003126832,0.001758843,0.291479382,0.05,0.075066496,0,0.760344828,0,0.070633435,3,None,0,0,0,0,0,0,0,0.136896619,0.506937659
baseline,Kyambogo,1752,1.00E+10,0.652597403,0.163961039,0.002272727,0,0.021103896,0.158766234,0.001298701,0,0,0,0,0,0,0,0,0.068506494,0.05,0.206378987,0,0.865619546,0,0.206378987,3,None,0,0,0,0,0,0,0,0.028571429,0.131493506
baseline,Kyanja,24371,1.00E+10,0.010455466,0.356335359,0.102071489,0.00078416,0.017578253,0.498006927,0.011304973,0,0,0.000457427,0,0,0.000522773,0.001633667,0.000849507,0.302424361,0.05,0.07469704,0,0.763294514,0,0.071849546,3,None,0,0,0,0,0,0,0,0.141932954,0.367836372
baseline,Kyebando,44552,1.00E+10,0,0.127689475,0.076468308,0,0.009594883,0.771079667,0.009934096,0,0,0.000145377,0,0,0,0.004312851,0.000775344,0.466175615,0.05,0.256745548,0,0.625987078,0,0.252061478,3,None,0,0,0,0,0,0,0,0.405504943,0.375654197
baseline,Lubya,66252,1.00E+10,0.000993504,0.086536747,0.140771876,0.000484015,0.012074895,0.730505668,0.026340594,0,0,2.55E-05,0,0,0,0.00068781,0.001579417,0.469952872,0.05,0.109967664,0,1.691089527,0,0.105399579,3,None,0,0,0,0,0,0,0,0.231435486,0.52543625
baseline,Lukuli,30768,1.00E+10,0.003817188,0.269369648,0.090374497,0.002321263,0.020891365,0.587382647,0.023625297,0,0,0,0,0,0,0.001908594,0.000309502,0.332920664,0.05,0.165281961,0,0.73184278,0,0.157856475,3,None,0,0,0,0,0,0,0,0.204425874,0.40658207
