GID,iso3,ID,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,sheddingRate_rota,shedding_duration_rota,incidence_urban_under5_rota,incidence_urban_5plus_rota,incidence_rural_under5_rota,incidence_rural_5plus_rota,sheddingRate_crypto,shedding_duration_crypto,incidence_urban_under5_crypto,incidence_urban_5plus_crypto,incidence_rural_under5_crypto,incidence_rural_5plus_crypto,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingTwinSlab_urb,compostingTwinNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingTwinSlab_rur,compostingTwinNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionQuaternarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa
CIV,CIV,45,Côte d'Ivoire,0.516,24905843,0.507785261,0.156613729,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.073,0.257,0.036,0.006,0.011,0.365,0.112,NA,NA,0.006,0,NA,0.003,0.125,0.007,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.004,0.018,0.002,0.003,0.005,0.282,0.218,NA,NA,0.025,0.001,NA,0.002,0.433,0.008,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
CMR,CMR,46,Cameroon,0.563,24678234,0.563740987,0.155041215,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.003,0.224,0.008,0,0,0.601,0.151,NA,NA,0,0.001,NA,0,0.01,0.001,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0,0.008,0.001,0,0,0.224,0.629,NA,NA,0.001,0,NA,0.005,0.13,0.002,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
COD,COD,47,Democratic Republic of the Congo,0.459,84004989,0.44460382,0.176721649,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.008,0.126,0.021,0.001,0.001,0.408,0.393,NA,NA,0,0.006,NA,0,0.039,0.001,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0,0.002,0,0,0,0.331,0.49,NA,NA,0,0,NA,0,0.177,0,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
COG,COG,48,Republic of Congo,0.609,5399895,0.66916116,0.148957103,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.025,0.1,0.026,0,0,0.884,0.37,NA,NA,0,0.018,NA,0.005,0.013,0,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.003,0.004,0.001,0,0,0.248,0.641,NA,NA,0,0.011,NA,0.009,0.205,0,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
COK,COK,49,Cook Islands,NA,17411,0.750502556,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,COL,50,Colombia,0.761,49464683,0.807776591,0.072926271,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142751,0.1417525,0.0023083,0.0023083,0.0023083,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.0213052,0,NA,NA,0.1,3,None,Fresh Urine,0.849315068,0.150684932,0,NA,NA,0.780136986,0.560273973,0.209726027,0.363972603
COM,COM,51,Comoros,0.538,832347,0.289653234,0.142029335,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.074,0.079,0.039,0.004,0.002,0.322,0.431,NA,NA,0.014,0,NA,0.031,0.004,0,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.035,0.031,0.01,0.005,0.006,0.219,0.62,NA,NA,0.015,0.001,NA,0.054,0.006,0,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPV,CPV,52,Cape Verde,0.651,553335,0.657314285,0.093404894,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.366,0.503,0.002,0.001,0,0.001,0,NA,NA,0,0,NA,0,0.125,0,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0,0.661,0.007,0,0,0.002,0,NA,NA,0,0,NA,0,0.329,0,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
CRI,CRI,53,Costa Rica,0.794,4953199,0.793395339,0.068314529,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.291,0.67,0.029,0,0,0.005,0,NA,NA,0,0,NA,0,0.003,0.002,0,0.1261448,0.28,NA,NA,0.1,3,None,Fresh Urine,0.063,0.883,0.015,0,0,0.031,0,NA,NA,0,0,NA,0,0.007,0,0.9,0.0272248,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
CUB,CUB,54,Cuba,0.778,11489082,0.770367641,0.050437218,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.588,0.254,0.054,0.034,0.002,0.064,0,NA,NA,0,0.001,NA,0,0.002,0.001,0.1153296,0.2529752,0.0503882,0.0503882,0.0503882,0.1,3,None,Fresh Urine,0.14,0.298,0.263,0.021,0,0.253,0,NA,NA,0.003,0,NA,0.002,0.01,0.011,0.9,0.0651659,0,NA,NA,0.1,3,None,Fresh Urine,0.791666667,0.208333333,0,NA,NA,0.791666667,0.583333333,0.1971875,0.340625
CUW,CUW,55,Curaçao,NA,161577,0.891444946,0.054820232,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXR,CXR,56,Christmas Island,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,CYM,57,Cayman Islands,NA,62348,1,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,CYP,58,Cyprus,0.873,1189085,0.668104467,0.053684855,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0663314,0.73,0.0663314,0.0663314,0.0663314,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.09,0.4,NA,NA,0.1,3,None,Fresh Urine,0,0.466666667,0.533333333,NA,NA,0.971333333,0.910666667,0.0138,0.02
CZE,CZE,59,Czech Republic,0.891,10625250,0.737919578,0.052181431,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.966,0.026,0,0,0,0.004,0,NA,NA,0,0,NA,0,0,0,0.0104047,0.9572359,0.0104047,0.0104047,0.0104047,0.1,3,None,Fresh Urine,0.683,0.285,0,0,0,0.064,0,NA,NA,0,0,NA,0,0,0.001,0.0864167,0.6781314,0.0864167,0.0864167,0.0864167,0.1,3,None,Fresh Urine,0,0.118421053,0.881578947,NA,NA,0.985263158,0.917631579,0.006486842,0.02
DEU,DEU,60,Germany,0.939,82293457,0.773115486,0.048442205,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007447,0.9869757,0.0007425,0.0007425,0.0007425,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0348645,0.8478995,0.0347595,0.0347595,0.0347595,0.1,3,None,Fresh Urine,0,0.03125,0.96875,NA,NA,0.98875,0.919375,0.00465625,0.02
DJI,DJI,61,Djibouti,0.495,971408,0.777771029,0.100366194,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.066,0.145,0.015,0.012,0,0.465,0.27,NA,NA,0,0,NA,0,0.016,0.011,0.3848224,0.029974,0,0,0,0.1,3,None,Fresh Urine,0,0.004,0,0.016,0,0.168,0.167,NA,NA,0,0,NA,0.003,0.593,0.048,0.1893489,0,0,0,0,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
DMA,DMA,62,Dominica,0.724,74308,0.704836626,NA,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
DNK,DNK,63,Denmark,0.93,5754356,0.878740731,0.053277829,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66,0.41,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0.022222222,0.022222222,0.955555556,NA,NA,0.983777778,0.910222222,0.009766667,0.029
DOM,DOM,64,Dominican Republic,0.745,10882996,0.810742097,0.092444494,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.278,0.555,0.042,0.017,0.016,0.073,0,NA,NA,0,0.001,NA,0,0.012,0.007,0,0.0550725,0.28,NA,NA,0.1,3,None,Fresh Urine,0.054,0.416,0.117,0.004,0.004,0.345,0,NA,NA,0,0.001,NA,0,0.054,0.007,0.9,0.0093284,0,NA,NA,0.1,3,None,Fresh Urine,0.8,0.2,0,NA,NA,0.79,0.58,0.199,0.344
DZA,DZA,65,Algeria,0.759,42008054,0.726289678,0.11496917,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.906,0.038,0.002,0.002,0.002,0.023,0.004,NA,NA,0.003,0,NA,0.001,0.001,0.018,0.0118449,0.1509271,0.0020761,0.0020761,0.0020761,0.1,3,None,Fresh Urine,0.582,0.217,0.016,0.006,0.012,0.089,0.025,NA,NA,0.002,0.001,NA,0.002,0.034,0.015,0.0989238,0.0916179,0.0173386,0.0173386,0.0173386,0.1,3,None,Fresh Urine,0.839285714,0.160714286,0,NA,NA,0.782142857,0.564285714,0.207544643,0.359910714
ECU,ECU,66,Ecuador,0.758,16863425,0.638207837,0.094489675,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.824,0.156,0.015,0,0,0,0,NA,NA,0,0,NA,0,0.002,0,0.1080988,0.2210846,0.0045029,0.0045029,0.0045029,0.1,3,None,Fresh Urine,0.293,0.433,0.149,0,0,0,0,NA,NA,0,0,NA,0,0.074,0.001,0.5020073,0.0695575,0,0,0,0.1,3,None,Fresh Urine,0.928571429,0.071428571,0,NA,NA,0.764285714,0.528571429,0.226964286,0.396071429
EGY,EGY,67,Egypt,0.7,99375741,0.427041133,0.124075693,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.917,0.082,0,0,0,0,0,NA,NA,0,0,NA,0,0,0.001,0.0090902,0.6914107,0.0066393,0.0066393,0.0066393,0.1,3,None,Fresh Urine,0.349,0.528,0,0.001,0.001,0,0,NA,NA,0,0,NA,0,0.001,0.118,0.9,0.3263829,0,NA,NA,0.1,3,None,Fresh Urine,0.903225806,0.096774194,0,NA,NA,0.769354839,0.538709677,0.221451613,0.385806452
ERI,ERI,68,Eritrea,0.434,5187948,0.400797001,0.139596839,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.101,0.117,0.021,0,0,0.103,0,NA,NA,0,0,NA,0,0.342,0.316,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0,0.011,0.006,0,0,0.055,0,NA,NA,0,0,NA,0,0.902,0.026,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESH,ESH,69,Western Sahara,NA,567421,0.866857237,0.094537358,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,0.684210526,0.315789474,0,NA,NA,0.813157895,0.626315789,0.173815789,0.297105263
ESP,ESP,70,Spain,0.893,46397452,0.803213763,0.042564544,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.9659714,0,0,0,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.967128,0,0,0,0.1,3,None,Fresh Urine,0.021052632,0.347368421,0.631578947,NA,NA,0.971052632,0.904210526,0.016315789,0.028526316
EST,EST,71,Estonia,0.882,1306788,0.688801091,0.052147732,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.884,0.02,0,0,0,0.088,0.003,NA,NA,0,0,NA,0,0,0.003,0,0.9871257,0,0,0,0.1,3,None,Fresh Urine,0.486,0.095,0,0,0,0.582,0.003,NA,NA,0,0.006,NA,0,0,0,0.1478791,0.6486427,0.1473877,0.1473877,0.1473877,0.1,3,None,Fresh Urine,0.0125,0.175,0.8125,NA,NA,0.98,0.91125,0.01065625,0.0250625
ETH,ETH,72,Ethiopia,0.47,107534882,0.207632803,0.146059157,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.023,0.063,0.026,0.002,0.002,0.304,0.524,NA,NA,0.008,0.001,NA,0,0.042,0.005,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0,0,0,0,0,0.031,0.639,NA,NA,0.009,0,NA,0,0.318,0.001,0.0355281,0.0026182,0,0,0,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
FIN,FIN,73,Finland,0.925,5542517,0.853817859,0.047671078,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0174182,0.9578317,0.0174182,0.0174182,0.0174182,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1957672,0.4,NA,NA,0.1,3,None,Fresh Urine,0,0,1,NA,NA,0.99,0.92,0.004,0.02
FJI,FJI,74,Fiji,0.724,912241,0.562478556,0.099716212,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
FLK,FLK,75,Falkland Islands,NA,2922,0.77652293,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,0.769230769,0.230769231,0,NA,NA,0.796153846,0.592307692,0.192307692,0.331538462
FRA,FRA,76,France,0.891,65233271,0.804441724,0.055458744,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66,0.41,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0.012195122,0.585365854,0.402439024,NA,NA,0.963658537,0.903170732,0.01920122,0.024939024
FRO,FRO,77,Faroe Islands,NA,49489,0.42063893,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,0.101123596,0.617977528,0.280898876,NA,NA,0.941011236,0.865168539,0.041095506,0.060955056
FSM,FSM,78,Micronesia,0.614,106227,0.227032675,0.106632702,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,GAB,79,Gabon,0.702,2067561,0.893698421,0.143942117,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBR,GBR,80,United Kingdom,0.92,66573504,0.833983832,0.057810002,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000434,0.988752,0.000434,0.000434,0.000434,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0404621,0.8370647,0.0404621,0.0404621,0.0404621,0.1,3,None,Fresh Urine,0,0.510204082,0.489795918,NA,NA,0.969591837,0.909795918,0.014714286,0.02
GEO,GEO,81,Georgia,0.786,3907131,0.586321779,0.067268295,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.819,0.01,0.009,0.002,0.001,0.124,0.032,NA,NA,0,0,NA,0,0,0.003,0.0549422,0.0973355,0.0063738,0.0063738,0.0063738,0.1,3,None,Fresh Urine,0.043,0.021,0.016,0.01,0.007,0.617,0.244,NA,NA,0.006,0,NA,0.034,0,0,0.9,0.0056608,0,NA,NA,0.1,3,None,Fresh Urine,0.810810811,0.189189189,0,NA,NA,0.787837838,0.575675676,0.201351351,0.348378378
GGY,GGY,82,Guernsey,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHA,GHA,83,Ghana,0.596,29463643,0.560596665,0.134182196,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.036,0.2815,0.0205,0.003,0.001,0.4715,0.106,NA,NA,0.001,0.002,NA,0,0.0745,0.0035,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.006,0.032,0.0045,5.00E-04,0,0.3445,0.288,NA,NA,0.001,5.00E-04,NA,5.00E-04,0.3205,0.003,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
GIB,GIB,84,Gibraltar,NA,34733,1,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,GIN,85,Guinea,0.466,13052608,0.361396818,0.15991352,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.027,0.245,0.073,0,0.001,0.526,0.099,NA,NA,0.003,0,NA,0.021,0.004,0,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.001,0.026,0.025,0,0,0.26,0.408,NA,NA,0.011,0.001,NA,0.054,0.212,0,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLP,GLP,86,Guadeloupe,NA,449173,0.98473862,0.057224331,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,0.971428571,0.028571429,0,NA,NA,0.755714286,0.511428571,0.236285714,0.413428571
GMB,GMB,87,Gambia,0.466,2163765,0.612695926,0.169450946,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.0355,0.2815,0.018,0,0,0.434,0.2205,NA,NA,0,0.002,NA,0,0.0035,0.005,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0,0.021,0.0035,0,0,0.3815,0.541,NA,NA,0,0,NA,0,0.0475,0.006,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
GNB,GNB,88,Guinea-Bissau,0.461,1907268,0.433601361,0.155036235,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.016,0.28,0,0.014,0,0.668,0,NA,NA,0,0,NA,0,0.017,0.003,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.007,0.013,0,0.001,0,0.672,0,NA,NA,0,0,NA,0,0.302,0.004,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNQ,GNQ,89,Equatorial Guinea,0.588,1313894,0.721428822,0.142305869,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.122,0.065,0.132,0.006,0,0.186,0,NA,NA,0.009,0.001,NA,0.002,0.034,0.296,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.066,0.053,0.121,0.074,0,0.114,0,NA,NA,0,0,NA,0.004,0.051,0.491,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
GRC,GRC,90,Greece,0.872,11142161,0.790580122,0.039283968,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012858,0.9406658,0.012858,0.012858,0.012858,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3688769,0.4,NA,NA,0.1,3,None,Fresh Urine,0,0.079545455,0.920454545,NA,NA,0.986818182,0.918409091,0.005670455,0.02
GRD,GRD,91,Grenada,0.763,108339,0.362722565,0.08009314,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
