sanitation_facility,category
LATRINA SEM AUTOCLISMO,pitSlab
Latrinas melhoradas com tampa ligada a fossa,pitSlab
Latrina tradicionais/retrete,pitSlab
improved latrines,pitSlab
....pit latrine - with slab,pitSlab
....pit latrine - ventilated improved,pitSlab
Pit,pitSlab
Dry toilet,pitSlab
PIT LATRINE: PIT LATRINE WITH SLAB,pitSlab
Shared traditional pit toilet,pitSlab
Own traditional pit toilet,pitSlab
PIT LATRINE: VENTILATED IMPROVED PIT LATRINE,pitSlab
Own VIP,pitSlab
Own pit latrine,pitSlab
Pit latrine ventilated improved pit latrine,pitSlab
Ventilated improved pit latrine (LAA),pitSlab
Pit latrine with slab that can not be washed,pitSlab
Pit latrine with washable slab*,pitSlab
Pit latrine with non-washable slab*,pitSlab
Dry latrine,pitSlab
"Letrina (pozo negro, hoyo)",pitSlab
Latrines ameliorées ventilées (LAV),pitSlab
"Pit latrine without slab, open pit",pitSlab
Pit latrine: Ventilated Improved Pit latrine (VIP),pitSlab
Retrete sem autoclismo Fossa septica,pitSlab
Latrina tradicional melhorada,pitSlab
Toilet without flush,pitSlab
Traditional improved latrine,pitSlab
Improved latrine,pitSlab
Toilettes / Latrines suspendues avec dalle,pitSlab
Latrines ? fosses avec dalle,pitSlab
Latrines ? fosses ventilees,pitSlab
VIP Latrine,pitSlab
Pit latrine w. slab/cover and foot rest,pitSlab
Pit latrine w. slab and foot rest,pitSlab
Pit latrine with slab and cover,pitSlab
Pit Latrine with slab made from mud rock wood etc,pitSlab
Ventilated improved pit toilet,pitSlab
Ventilated/improved pit latrine,pitSlab
Letrina o servicio de hueco con ventilación,pitSlab
Letrina o servicio de hueco sin ventilación,pitSlab
Own pit toilet/latrine,pitSlab
Share pit toilet/letrine,pitSlab
Latrine (ciego o negro),pitSlab
Close pit,pitSlab
"Pit latrine, ventilated improved",pitSlab
"Pit latrine, with slab",pitSlab
"Letrina común de hoyo seco(con losa,techo,paredes y puertas)",pitSlab
Letrina ventilada de hoyo seco(común c/tubo de ventilación),pitSlab
"Letrina común de hoyo seco (con losa, techo, paredes y puert",pitSlab
Letrina ventilada de hoyo seco (común c/tubo de ventilación),pitSlab
Letrina ventilada de hoyo seco(común con tubo de ventilación),pitSlab
"Letrina comúnde hoyo seco con losa (sin techo, paredes y puertas)",pitSlab
Ventilated improved pit,pitSlab
Latrine a fosse ventillee),pitSlab
Latrine seches traditionnelles,pitSlab
Traditional latrine,pitSlab
Latrina tradicional,pitSlab
