gid,iso,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,sheddingRate_virus,shedding_duration_virus,incidence_urban_under5_virus,incidence_urban_5plus_virus,incidence_rural_under5_virus,incidence_rural_5plus_virus,sheddingRate_protozoa,shedding_duration_protozoa,incidence_urban_under5_protozoa,incidence_urban_5plus_protozoa,incidence_rural_under5_protozoa,incidence_rural_5plus_protozoa,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,onsiteDumpedland_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,onsiteDumpedland_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa,notes1,notes2,notes3
HRV,HRV,Croatia,0.837,4164783,0.569466885,0.044857242,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.991,0,0,0,0,0,0,0,0,NA,0,0,0.009,0.0580755,0.5441206,0.0404948,0,0,3,0,0,0,0.1,0.972,0,0,0,0,0,0,0,0,NA,0,0,0.028,0,0.1965778,0.9,0,0,3,0,0,0,0.1,0.47826087,0.52173913,0,NA,0.854347826,0.708695652,0.129021739,0.213695652,,,
HTI,HTI,Haiti,0.503,11112945,0.552779484,0.110759864,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.03,0.087,0.026,0,0,0.362,0.217,0.002,0,NA,0.176,0.099,0.001,0,0.026684791,0.2,0,0,3,0,0,0,0.1,0.004,0.012,0.015,0,0,0.139,0.206,0.001,0,NA,0.117,0.506,0,0.9,0.026684791,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
HUN,HUN,Hungary,0.845,9688847,0.71350719,0.047735538,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.891,0,0,0,0,0,0,0,0,NA,0,0,0.109,0.047063,0.8525052,0.047063,0,0,3,0,0,0,0.1,0.585,0,0,0,0,0,0,0,0,NA,0,0,0.415,0.1916059,0.5994743,0.1906479,0,0,3,0,0,0,0.1,0.114285714,0.4,0.485714286,NA,0.946571429,0.864,0.039657143,0.066285714,,,
IDN,IDN,Indonesia,0.707,266794980,0.553245065,0.086494526,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0,0.63,0,0,0,0.132,0,0,0,NA,0,0.221,0.018,0,0.15836647,0.2,0,0,3,0,0,0,0.1,0,0.198,0,0,0,0.305,0,0,0,NA,0,0.453,0.044,0.9,0.15836647,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,,,
IMN,IMN,Isle of Man,NA,84831,0.525880869,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.2,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0,0,0,3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,No Data,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
IND,IND,India,0.647,1354051854,0.340296985,0.084695026,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0,0,0,0,0,0.96,0,0,0,NA,0,0.04,0,0,0.0883698,0.2,0,0,3,0,0,0,0.1,0,0,0,0,0,0.67,0,0,0,NA,0,0.33,0,0.3872204,0.0032375,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
IOT,IOT,British Indian Ocean Territory,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Data,,
IRL,IRL,Ireland,0.942,4803748,0.631700081,0.06352085,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.917,0.021,0,0,0,0.006,0,0,0,NA,0,0,0.056,0.0208423,0.8428678,0.0208423,0,0,3,0,0,0,0.1,0.207,0.673,0,0,0,0.088,0,0,0,NA,0,0,0.032,0.5096749,0.2118234,0,0,0,3,0,0,0,0.1,0.029850746,0.791044776,0.179104478,NA,0.95119403,0.891641791,0.027731343,0.032089552,,,
IRN,IRN,Iran,0.797,82011735,0.74897885,0.09093095,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.39,0.005,0,0,0,0.594,0,0,0,NA,0,0,0.011,0,0.2969213,0.2,0,0,3,0,0,0,0.1,0.053,0.005,0,0,0,0.901,0,0,0,NA,0,0,0.041,0.9,0.0107172,0,0,0,3,0,0,0,0.1,0,1,0,NA,0.95,0.9,0.025,0.02,,,
IRQ,IRQ,Iraq,0.689,39339753,0.704727531,0.133766489,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.388,0.372,0.128,0.004,0,0.104,0.002,0,0,NA,0,0.001,0.002,0.1952533,0.200920913,0,0,0,3,0,0,0,0.1,0.033,0.437,0.302,0.02,0.001,0.142,0.033,0.001,0,NA,0,0.026,0.006,0.4151164,0.055734158,0,0,0,3,0,0,0,0.1,1,0,0,NA,0.75,0.5,0.2425,0.425,,,
ISL,ISL,Iceland,0.938,337780,0.938128368,0.059894505,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.96,0.04,0,0,0,0,0,0,0,NA,0,0,0,0,1,0.9,0,0,3,0,0,0,0.1,0.96,0.04,0,0,0,0,0,0,0,NA,0,0,0,0,1,0.9,0,0,3,0,0,0,0.1,0.968253968,0.015873016,0.015873016,NA,0.756984127,0.513015873,0.235261905,0.412142857,,"Urban sanitation technologies data was not available, so national data was used.","Rural sanitation technologies data was not available, so national data was used."
ISR,ISR,Israel,0.906,8452841,0.924176735,0.097952052,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.995,0.005,0,0,0,0,0,0,0,NA,0,0,0,0.00125,0.9358705,0.0011757,0,0,3,0,0,0,0.1,0.95,0.05,0,0,0,0,0,0,0,NA,0,0,0,0.0125,0.8935447,0.0117572,0,0,3,0,0,0,0.1,0.0625,0.416666667,0.520833333,NA,0.958333333,0.885416667,0.02765625,0.0453125,,,
